date,sample,pg_L,obj,long,lat
5/31/2023,GB02,29.24900965,1,-87.77983554,44.71073015
5/31/2023,GB12,55.7397934,1,-87.6983938,44.80765996
5/31/2023,GB15,4.770747403,1,-87.79379509,44.66858679
5/31/2023,GB18,0,1,-87.77717242,44.64154272
5/31/2023,GB20,23.25958156,1,-87.75720621,44.68859787
5/31/2023,GB23,0.827912631,1,-87.7168879,44.73344315
5/31/2023,GB24,4.347485508,1,-87.79545861,44.68932675
5/31/2023,GB28,16.91155077,1,-87.8309249,44.66288985
5/31/2023,GB30,20.58341353,1,-87.86259542,44.64996523
5/31/2023,GB31,16.31305242,1,-87.75280561,44.71014738
5/31/2023,GB32,19.95395134,1,-87.70610924,44.77760008
5/31/2023,GB36,4.281926428,1,-87.80962115,44.65753209
5/31/2023,GB37,21.35550666,1,-87.77487989,44.69029412
5/31/2023,GB41,16.27068085,1,-87.7613609,44.73028092
5/31/2023,GB42,0,1,-87.74006446,44.68497046
6/16/2023,GB17,0,1,-87.44776899,44.88505691
6/16/2023,GB49,99.76004266,1,-87.43893808,44.92917693
6/16/2023,GB33,72.39716539,1,-87.46001151,44.96296233
6/17/2023,GB03,44.10339797,1,-87.61588312,44.86721922
6/17/2023,GB21,0,1,-87.53539708,44.87611067
6/17/2023,GB38,0,1,-87.59805787,44.84301109
6/17/2023,GB44,104.9961577,1,-87.63531711,44.84102772
6/17/2023,GB48,3001.207729,1,-87.57672676,44.90328086
6/30/2023,GB01,0,1,-87.95969487,44.73037206
6/30/2023,GB04,0,1,-87.94722738,44.70220142
6/30/2023,GB05,0,1,-87.93984685,44.69409195
6/30/2023,GB07,0,1,-87.9033954,44.75490884
6/30/2023,GB09,0,1,-87.97001735,44.66912824
6/30/2023,GB10,0,1,-87.85422967,44.80771149
6/30/2023,GB14,0,1,-87.88185877,44.74827593
6/30/2023,GB22,0,1,-87.93136055,44.66064776
6/30/2023,GB26,0,1,-87.93543422,44.61917216
6/30/2023,GB27,0,1,-87.83365496,44.8123589
6/30/2023,GB29,0,1,-87.95105999,44.66701211
6/30/2023,GB39,0,1,-87.8160567,44.83049594
6/30/2023,GB40,0,1,-87.9084353,44.71598541
6/30/2023,GB45,0,1,-87.8573216,44.76253723
6/30/2023,GB46,0,1,-87.9844108,44.68125879
6/8/2023,1kmNEb,12.21546311,2,-87.4008421,44.9247228
6/8/2023,1kmNb,5.651713516,2,-87.40979,44.9273562
6/8/2023,2kmNb,12.85136696,2,-87.40979,44.9363525
6/8/2023,1kmSb,9.395837543,2,-87.40979,44.9093679
6/8/2023,1kmWb,3.035954948,2,-87.4224494,44.91836
6/8/2023,1kmSWb,21.85537677,2,-87.4187474,44.9119979
6/8/2023,1kmNWb,21.2755102,2,-87.4187534,44.9247227
6/8/2023,2kmSb,15.9880784,2,-87.40979,44.9003674
6/8/2023,2kmWb,6.887755102,2,-87.43511,44.91836
6/8/2023,2kmNWb,9.704397223,2,-87.4277003,44.9310861
6/8/2023,2kmSWb,8.017492711,2,-87.4276884,44.9056407
6/8/2023,20Sb,7.653061224,2,-87.40979,44.91818
6/8/2023,20Eb,17.49271137,2,-87.40953,44.91836
6/8/2023,20Nb,21.3988508,2,-87.40979,44.91854
6/8/2023,20Wb,10.9223301,2,-87.41004,44.91836
6/8/2023,20NEb,16.17250674,2,-87.40961,44.91849
6/8/2023,20NWb,7.950267486,2,-87.40997,44.91848
6/8/2023,20SWb,15.81151328,2,-87.40997,44.91823
6/8/2023,100Eb,10.42917167,2,-87.40852,44.91836
6/8/2023,100Wb,52.0253556,2,-87.41106,44.91836
6/8/2023,100Nb,0,2,-87.40979,44.91926
6/8/2023,100NEb,26.35252214,2,-87.40889,44.91899
6/8/2023,100SEb,33.04544159,2,-87.40889,44.91772
6/8/2023,100NWb,5.688927769,2,-87.410689,44.91899
6/8/2023,500Nb,15.50940101,2,-87.40979,44.922866
6/8/2023,500Wb,15.23433761,2,-87.4161192,44.91836
6/8/2023,500Eb,7.858046814,2,-87.4034645,44.91836
6/8/2023,500Sb,13.23461716,2,-87.40979,44.9138676
6/8/2023,500SWb,22.2853529,2,-87.4142711,44.915176
6/8/2023,500SEb,26.77147414,2,-87.4053243,44.9151805
6/8/2023,500NWb,27.86667836,2,-87.414277,44.9215449
6/8/2023,500NEb,24.81853986,2,-87.4053184,44.921541
6/8/2023,100SWb,8.989350022,2,-87.41068,44.91772
6/16/2023,1kmNb,32.3492884,2,-87.40979,44.9273562
6/16/2023,1kmSb,9.667024705,2,-87.40979,44.9093679
6/16/2023,1kmWb,36.93533024,2,-87.4224494,44.91836
6/16/2023,1kmNWb,94.46628701,2,-87.4187534,44.9247227
6/16/2023,1kmNEb,0,2,-87.4008421,44.9247228
6/16/2023,1kmSWb,462.9836046,2,-87.4187474,44.9119979
6/16/2023,2kmSb,16.95565444,2,-87.40979,44.9003674
6/16/2023,2kmWb,176.745435,2,-87.43511,44.91836
6/16/2023,2kmNb,106.0280572,2,-87.40979,44.9363525
6/16/2023,2kmNWb,66.37323121,2,-87.4277003,44.9310861
6/16/2023,20Wb,453.004687,2,-87.41004,44.91836
6/16/2023,20Sb,254.18357,2,-87.40979,44.91818
6/16/2023,20Nb,143.5693138,2,-87.40979,44.91854
6/16/2023,20SWb,105.5180949,2,-87.40997,44.91823
6/16/2023,20NWb,96.65948276,2,-87.40997,44.91848
6/16/2023,100Nb,246.1870027,2,-87.40979,44.91926
6/16/2023,100Wb,247.4222448,2,-87.41106,44.91836
6/16/2023,100NWb,375.5387931,2,-87.410689,44.91899
6/16/2023,100SEb,235.1673428,2,-87.40889,44.91772
6/16/2023,100SWb,257.4470809,2,-87.41068,44.91772
6/16/2023,500Sb,189.7577997,2,-87.40979,44.9138676
