"","date","pg_L","net","distanceEW","distanceNS","Catch_lbs"
"1","6/8/2023",12.21546311,"east",707.106781186548,707.106781186548,2000
"2","6/8/2023",5.651713516,"east",0,1000,2000
"3","6/8/2023",12.85136696,"east",0,2000,2000
"4","6/8/2023",9.395837543,"east",0,-1000,2000
"5","6/8/2023",3.035954948,"east",-1000,0,2000
"6","6/8/2023",21.85537677,"east",-707.106781186548,-707.106781186548,2000
"7","6/8/2023",21.2755102,"east",-707.106781186548,707.106781186548,2000
"8","6/8/2023",15.9880784,"east",0,-2000,2000
"9","6/8/2023",6.887755102,"east",-2000,0,2000
"10","6/8/2023",9.704397223,"east",-1414.2135623731,1414.2135623731,2000
"11","6/8/2023",8.017492711,"east",-1414.2135623731,-1414.2135623731,2000
"12","6/8/2023",7.653061224,"east",0,-20,2000
"13","6/8/2023",17.49271137,"east",20,0,2000
"14","6/8/2023",21.3988508,"east",0,20,2000
"15","6/8/2023",10.9223301,"east",-20,0,2000
"16","6/8/2023",16.17250674,"east",14.142135623731,14.142135623731,2000
"17","6/8/2023",7.950267486,"east",-14.142135623731,14.142135623731,2000
"18","6/8/2023",15.81151328,"east",-14.142135623731,-14.142135623731,2000
"19","6/8/2023",10.42917167,"east",100,0,2000
"20","6/8/2023",52.0253556,"east",-100,0,2000
"21","6/8/2023",0,"east",0,100,2000
"22","6/8/2023",26.35252214,"east",70.7106781186548,70.7106781186548,2000
"23","6/8/2023",33.04544159,"east",70.7106781186548,-70.7106781186548,2000
"24","6/8/2023",5.688927769,"east",-70.7106781186548,70.7106781186548,2000
"25","6/8/2023",15.50940101,"east",0,500,2000
"26","6/8/2023",15.23433761,"east",-500,0,2000
"27","6/8/2023",7.858046814,"east",500,0,2000
"28","6/8/2023",13.23461716,"east",0,-500,2000
"29","6/8/2023",22.2853529,"east",-353.553390593274,-353.553390593274,2000
"30","6/8/2023",26.77147414,"east",353.553390593274,-353.553390593274,2000
"31","6/8/2023",27.86667836,"east",-353.553390593274,353.553390593274,2000
"32","6/8/2023",24.81853986,"east",353.553390593274,353.553390593274,2000
"33","6/8/2023",8.989350022,"east",-70.7106781186548,-70.7106781186548,2000
"34","4/25/2024",0,"central",-14.142135623731,14.142135623731,300
"35","4/25/2024",1.057884455,"central",0,100,300
"36","4/25/2024",0,"central",70.7106781186548,70.7106781186548,300
"37","4/25/2024",0,"central",70.7106781186548,-70.7106781186548,300
"38","4/25/2024",0,"central",0,-100,300
"39","4/25/2024",1.536073337,"central",-70.7106781186548,-70.7106781186548,300
"40","4/25/2024",2.824702716,"central",-100,0,300
"41","4/25/2024",0.400887776,"central",-70.7106781186548,70.7106781186548,300
"42","4/25/2024",0,"central",0,500,300
"43","4/25/2024",0,"central",353.553390593274,353.553390593274,300
"44","4/25/2024",0,"central",500,0,300
"45","4/25/2024",0.193446838,"central",353.553390593274,-353.553390593274,300
"46","4/25/2024",0,"central",0,-500,300
"47","4/25/2024",0.336190365,"central",-353.553390593274,-353.553390593274,300
"48","4/25/2024",0.292976545,"central",-500,0,300
"49","4/25/2024",0,"central",-353.553390593274,353.553390593274,300
"50","4/25/2024",0,"central",0,1000,300
"51","4/25/2024",0,"central",707.106781186548,707.106781186548,300
"52","4/25/2024",0.432936767,"central",1000,0,300
"53","4/25/2024",0,"central",707.106781186548,-707.106781186548,300
"54","4/25/2024",0,"central",0,-1000,300
"55","4/25/2024",0.449130924,"central",-707.106781186548,-707.106781186548,300
"56","4/25/2024",0.048488555,"central",-1000,0,300
"57","4/25/2024",0,"central",-707.106781186548,707.106781186548,300
"58","4/25/2024",0,"central",0,2000,300
"59","4/25/2024",0,"central",1414.2135623731,1414.2135623731,300
"60","4/25/2024",0,"central",2000,0,300
"61","4/25/2024",0,"central",1414.2135623731,-1414.2135623731,300
"62","4/25/2024",1.177847576,"central",0,-2000,300
"63","4/25/2024",1.517331295,"central",-1414.2135623731,-1414.2135623731,300
"64","4/25/2024",0,"central",-2000,0,300
"65","4/25/2024",0,"central",-1414.2135623731,1414.2135623731,300
"66","5/4/2024",0,"central",0,100,900
"67","5/4/2024",0.341350985,"central",100,0,900
"68","5/4/2024",0,"central",70.7106781186548,-70.7106781186548,900
"69","5/4/2024",1.192753864,"central",0,-100,900
"70","5/4/2024",1.938093366,"central",-70.7106781186548,-70.7106781186548,900
"71","5/4/2024",0,"central",-100,0,900
"72","5/4/2024",0.36327097,"central",-70.7106781186548,70.7106781186548,900
"73","5/4/2024",2.722405396,"central",0,500,900
"74","5/4/2024",0,"central",353.553390593274,353.553390593274,900
"75","5/4/2024",0,"central",500,0,900
"76","5/4/2024",0.75740127,"central",353.553390593274,-353.553390593274,900
"77","5/4/2024",0.726884381,"central",0,-500,900
"78","5/4/2024",0,"central",-353.553390593274,-353.553390593274,900
"79","5/4/2024",0,"central",-500,0,900
"80","5/4/2024",0,"central",-353.553390593274,353.553390593274,900
"81","5/4/2024",0.366552441,"central",0,1000,900
"82","5/4/2024",0,"central",707.106781186548,707.106781186548,900
"83","5/4/2024",0.458093022,"central",1000,0,900
"84","5/4/2024",1.227771224,"central",707.106781186548,-707.106781186548,900
"85","5/4/2024",0,"central",0,-1000,900
"86","5/4/2024",1.169136141,"central",-707.106781186548,-707.106781186548,900
"87","5/4/2024",0.254295663,"central",-1000,0,900
"88","5/4/2024",2.418158048,"central",-707.106781186548,707.106781186548,900
"89","5/4/2024",0,"central",0,2000,900
"90","5/4/2024",0,"central",1414.2135623731,1414.2135623731,900
"91","5/4/2024",0,"central",2000,0,900
"92","5/4/2024",0.894387223,"central",1414.2135623731,-1414.2135623731,900
"93","5/4/2024",0,"central",0,-2000,900
"94","5/4/2024",1.77221172,"central",-1414.2135623731,-1414.2135623731,900
"95","5/4/2024",0,"central",-2000,0,900
"96","5/4/2024",0.954267849,"central",-1414.2135623731,1414.2135623731,900
"97","5/17/2024",0.802381278,"central",0,100,1700
"98","5/17/2024",2.008506616,"central",70.7106781186548,70.7106781186548,1700
"99","5/17/2024",0.446887042,"central",100,0,1700
"100","5/17/2024",0.997944464,"central",70.7106781186548,-70.7106781186548,1700
"101","5/17/2024",0.410189587,"central",0,-100,1700
"102","5/17/2024",2.810221442,"central",-70.7106781186548,-70.7106781186548,1700
"103","5/17/2024",0,"central",-100,0,1700
"104","5/17/2024",1.097083446,"central",-70.7106781186548,70.7106781186548,1700
"105","5/17/2024",0.763955753,"central",0,500,1700
"106","5/17/2024",1.442093851,"central",353.553390593274,353.553390593274,1700
"107","5/17/2024",1.161969005,"central",500,0,1700
"108","5/17/2024",2.838080668,"central",353.553390593274,-353.553390593274,1700
"109","5/17/2024",1.701564202,"central",0,-500,1700
"110","5/17/2024",7.610632611,"central",-353.553390593274,-353.553390593274,1700
"111","5/17/2024",0,"central",-500,0,1700
"112","5/17/2024",0,"central",-353.553390593274,353.553390593274,1700
"113","5/17/2024",3.526878527,"central",0,1000,1700
"114","5/17/2024",0,"central",707.106781186548,707.106781186548,1700
"115","5/17/2024",4.014361491,"central",1000,0,1700
"116","5/17/2024",0,"central",707.106781186548,-707.106781186548,1700
"117","5/17/2024",3.016409266,"central",0,-1000,1700
"118","5/17/2024",2.327223201,"central",-707.106781186548,-707.106781186548,1700
"119","5/17/2024",10.72501073,"central",-1000,0,1700
"120","5/17/2024",5.515719801,"central",-707.106781186548,707.106781186548,1700
"121","5/17/2024",0.858207108,"central",0,2000,1700
"122","5/17/2024",6.588220874,"central",1414.2135623731,1414.2135623731,1700
"123","5/17/2024",4.826254826,"central",2000,0,1700
"124","5/17/2024",0.91651057,"central",1414.2135623731,-1414.2135623731,1700
"125","5/17/2024",3.893178893,"central",0,-2000,1700
"126","5/17/2024",37.48391248,"central",-1414.2135623731,-1414.2135623731,1700
"127","5/17/2024",16.97458473,"central",-2000,0,1700
"128","5/17/2024",0,"central",-1414.2135623731,1414.2135623731,1700
"129","5/30/2024",1.13175897,"central",0,100,2400
"130","5/30/2024",200.6113256,"central",100,0,2400
"131","5/30/2024",71.13899614,"central",70.7106781186548,-70.7106781186548,2400
"132","5/30/2024",5.687505688,"central",0,-100,2400
"133","5/30/2024",16.79506934,"central",-70.7106781186548,-70.7106781186548,2400
"134","5/30/2024",15.42758089,"central",-100,0,2400
"135","5/30/2024",4.309753009,"central",-70.7106781186548,70.7106781186548,2400
"136","5/30/2024",11.74693741,"central",0,500,2400
"137","5/30/2024",10.71967751,"central",353.553390593274,353.553390593274,2400
"138","5/30/2024",0,"central",500,0,2400
"139","5/30/2024",0,"central",353.553390593274,-353.553390593274,2400
"140","5/30/2024",17.31547781,"central",0,-500,2400
"141","5/30/2024",5.930677814,"central",-353.553390593274,-353.553390593274,2400
"142","5/30/2024",2.600154083,"central",-500,0,2400
"143","5/30/2024",4.256548536,"central",-353.553390593274,353.553390593274,2400
"144","5/30/2024",3.928358938,"central",0,1000,2400
"145","5/30/2024",8.638575722,"central",707.106781186548,707.106781186548,2400
"146","5/30/2024",0,"central",1000,0,2400
"147","5/30/2024",0,"central",707.106781186548,-707.106781186548,2400
"148","5/30/2024",0,"central",0,-1000,2400
